[02-May-2025 01:04:23 Europe/Berlin] Login error: SQLSTATE[42S22]: Column not found: 1054 Unknown column 'status' in 'where clause'
[02-May-2025 01:06:49 Europe/Berlin] Login error: SQLSTATE[42S22]: Column not found: 1054 Unknown column 'status' in 'where clause'
[02-May-2025 01:06:54 Europe/Berlin] Login error: SQLSTATE[42S22]: Column not found: 1054 Unknown column 'status' in 'where clause'
[02-May-2025 01:06:59 Europe/Berlin] Login error: SQLSTATE[42S22]: Column not found: 1054 Unknown column 'status' in 'where clause'
[02-May-2025 01:11:11 Europe/Berlin] Login error: SQLSTATE[42S22]: Column not found: 1054 Unknown column 'status' in 'where clause'
[02-May-2025 01:11:16 Europe/Berlin] Login error: SQLSTATE[42S22]: Column not found: 1054 Unknown column 'status' in 'where clause'
[02-May-2025 01:14:15 Europe/Berlin] Login error: SQLSTATE[42S22]: Column not found: 1054 Unknown column 'status' in 'where clause'
[02-May-2025 01:14:20 Europe/Berlin] Login error: SQLSTATE[42S22]: Column not found: 1054 Unknown column 'status' in 'where clause'
[02-May-2025 01:14:24 Europe/Berlin] Login error: SQLSTATE[42S22]: Column not found: 1054 Unknown column 'status' in 'where clause'
[02-May-2025 01:14:27 Europe/Berlin] Login error: SQLSTATE[42S22]: Column not found: 1054 Unknown column 'status' in 'where clause'
[02-May-2025 01:14:40 Europe/Berlin] Login error: SQLSTATE[42S22]: Column not found: 1054 Unknown column 'status' in 'where clause'
[03-May-2025 13:38:11 Europe/Berlin] PHP Warning:  Undefined array key "REQUEST_METHOD" in C:\xampp\htdocs\NPL\index.php on line 36
[03-May-2025 14:12:57 Europe/Berlin] PHP Notice:  session_start(): Ignoring session_start() because a session is already active in C:\xampp\htdocs\NPL\config\config.php on line 6
[03-May-2025 14:13:05 Europe/Berlin] PHP Notice:  session_start(): Ignoring session_start() because a session is already active in C:\xampp\htdocs\NPL\config\config.php on line 6
[03-May-2025 14:13:10 Europe/Berlin] PHP Notice:  session_start(): Ignoring session_start() because a session is already active in C:\xampp\htdocs\NPL\config\config.php on line 6
[03-May-2025 14:13:43 Europe/Berlin] PHP Notice:  session_start(): Ignoring session_start() because a session is already active in C:\xampp\htdocs\NPL\config\config.php on line 6
[03-May-2025 14:14:37 Europe/Berlin] PHP Warning:  require_once(C:\xampp\htdocs\NPL\config\config.php): Failed to open stream: No such file or directory in C:\xampp\htdocs\NPL\index.php on line 15
[03-May-2025 14:14:37 Europe/Berlin] PHP Fatal error:  Uncaught Error: Failed opening required 'config/config.php' (include_path='C:\xampp\php\PEAR') in C:\xampp\htdocs\NPL\index.php:15
Stack trace:
#0 {main}
  thrown in C:\xampp\htdocs\NPL\index.php on line 15
[03-May-2025 14:14:38 Europe/Berlin] PHP Warning:  require_once(C:\xampp\htdocs\NPL\config\config.php): Failed to open stream: No such file or directory in C:\xampp\htdocs\NPL\index.php on line 15
[03-May-2025 14:14:38 Europe/Berlin] PHP Fatal error:  Uncaught Error: Failed opening required 'config/config.php' (include_path='C:\xampp\php\PEAR') in C:\xampp\htdocs\NPL\index.php:15
Stack trace:
#0 {main}
  thrown in C:\xampp\htdocs\NPL\index.php on line 15
[03-May-2025 14:14:39 Europe/Berlin] PHP Warning:  require_once(C:\xampp\htdocs\NPL\config\config.php): Failed to open stream: No such file or directory in C:\xampp\htdocs\NPL\index.php on line 15
[03-May-2025 14:14:39 Europe/Berlin] PHP Fatal error:  Uncaught Error: Failed opening required 'config/config.php' (include_path='C:\xampp\php\PEAR') in C:\xampp\htdocs\NPL\index.php:15
Stack trace:
#0 {main}
  thrown in C:\xampp\htdocs\NPL\index.php on line 15
[03-May-2025 14:14:40 Europe/Berlin] PHP Warning:  require_once(C:\xampp\htdocs\NPL\config\config.php): Failed to open stream: No such file or directory in C:\xampp\htdocs\NPL\index.php on line 15
[03-May-2025 14:14:40 Europe/Berlin] PHP Fatal error:  Uncaught Error: Failed opening required 'config/config.php' (include_path='C:\xampp\php\PEAR') in C:\xampp\htdocs\NPL\index.php:15
Stack trace:
#0 {main}
  thrown in C:\xampp\htdocs\NPL\index.php on line 15
[03-May-2025 14:14:41 Europe/Berlin] PHP Warning:  require_once(C:\xampp\htdocs\NPL\config\config.php): Failed to open stream: No such file or directory in C:\xampp\htdocs\NPL\index.php on line 15
